Address,Bytecode,decompiled,violations,warnings,conflicts,patterns,status
berachain_0x0Dd7a5a32311b8D87A615Cc7f079B632D3d5e2D3,70faf4ed10b216ed4d6465580fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d3078656375746f722d452e432e3160901b6020820152604051906020825281815191826020830152600060065b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576044356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761013090369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b946,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum_0x1462800febd49232798132e8c8b721aa86c4c209,ae19698795f886b78d05aa9146101355780639f2c3a1414610155578063a548ee6414610168578063ac91afd51461019b578063c3f909d4146101a4578063f00aa995146101ac57600080fd5b806301f6b5a2146100ae5780631d776323146100d95780633e28ea8a146100ee578063555ff2881461016006005780635ac1b08b14610115575b600080fd5b6100c16100bc36600461174a565b6101d0565b60405161ffff90911681526020015b60405180910390f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum_0xA25862D222Eb8343505c12d96e097e4332468D60,b1648d70bdd2248c216edac648d70cae2dedd1461009a5763c1315aec1461009557600080fd5b610616565b610584565b6104cf565b610461565b6103ea565b6102bb565b610229565b6101e4565b61019f565b61014f565b6100e2565b6004359061ffff821682036100dd57565b600080fd5b346100dd5760203660031901126100dd5761ffff6100fe6100cc565b16600052600060205260806040600020546040519067ffffffffffffffff81168252676006ffffffffffffffff8160401c16602083015267ffffffffffffffff81841c16604083015260c01c6060820152f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum_0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,a95f886b2bc07ae51c699d25f80632e1a7d4d14610243578063313ce5671461026657806370a082311461029557806395d89b41146102e2578063a9059cbb14610370578063d0e30db0146103ca578063dd62ed3e146103d4575b6100b7610440565b005b34156100c457600080fd5b6100cc6104dd565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561010c5780820151818401526020810190506100f15660065b50505050905090810190601f1680156101395780820380516001836020036101000a031916815260200191505b509250505060405180910390f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
moonbeam_0xAcc15dC74880C9944775448304B263D191c6077F,a95f886b2bc07ae51c699d25f80632e1a7d4d14610243578063313ce5671461026657806370a082311461029557806395d89b41146102e2578063a9059cbb14610370578063d0e30db0146103ca578063dd62ed3e146103d4575b6100b7610440565b005b34156100c457600080fd5b6100cc6104dd565b60405180806020018281038252838181518152602001915080519060200190808383606006005b8381101561010c5780820151818401526020810190506100f1565b50505050905090810190601f1680156101395780820380516001836020036101000a031916815260200191505b509250505060405180910390f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
