Address,Protocol,Bytecode,Reentrancy,Integer,Access_Control,Delegatecall,Unchecked_Call,Timestamp,TOD,DoS,Selfdestruct,Locked_Ether,Ether_Leak,Vulnerable
base_0x838a95B6a3E06B6f11C437e22f3C7561a6ec40F1,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
base_0x8d2de8d2f73F1F4cAB472AC9A881C9b123C79627,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
base_0x9E1936E91A4a5AE5A5F75fFc472D6cb8e93597ea,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
base_0xDA3adC6621B2677BEf9aD26598e6939CF0D92f88,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
base_0xbebdb6C8ddC678FfA9f8748f85C815C556Dd8ac6,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
berachain_0x0Dd7a5a32311b8D87A615Cc7f079B632D3d5e2D3,Wormhole,70faf4ed10b216ed4d6465580fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d3078656375746f722d452e432e3160901b6020820152604051906020825281815191826020830152600060065b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576044356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761013090369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b946,Securify,,Securify,,Securify,,Securify,Mythril,,,MAIAN,Yes
berachain_0x3Ff72741fd67D6AD0668d93B41a09248F4700560,Wormhole,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc546001600160a01b031690575b905090565b3660008037600080366000845af43d6000803e8080156100b5573d60006006f35,,,,,,,,,,,,No
berachain_0x6969696969696969696969696969696969696969,Wormhole,418d1d699595f678810563586996d699683660046108e0565b6103eb5660065b604051901515815260200161013d565b348015610180575f80fd5b506805345cdf77eb68f44c545b60405190815260200161013d565b3480156101a6575f80fd5b506101656101b5366004610908565b61043a565b3480156101c5575f80fd5b506100e96101d4366004610942565b6104f2565b3480156101e4575f80fd5b506040516012815260200161013d565b3480156101ff575f80fd5b50604080518082018252600c81527f577261707065642030657261000000000000000000000000000000000000000060209182015281517f8b73c3c69bb8fe3d512ecc4cf759cc79239f7b179b0ffacaa9a75d522b39400f81527fb6c9467dd48cdde7d71a807357f57f1fef05232a4af3ed7fdf1f050c8e1a69fe918101919091527fc89efdaa54c0f20c7adf612882df0950f5a951637e0307cdcb4c672f298b8bc69181019190915238606082015242608082015260a0902061018d565b3480156102c9575f80fd5b5061018d6102d8366004610959565b638,,,,,,,,,,,,No
berachain_0xCa1D5a146B03f6303baF59e5AD5615ae0b9d146D,Wormhole,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc546001600160a01b031690575b905090565b3660008037600080366000845af43d6000803e8080156100b55760063d6000f35,,,,,,,,,,,,No
blast_0x24850c6f61C438823F01B7A3BF2B89B72174Fa9d,Wormhole,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc546001600160a01b031690575b905090565b3660008037600080366000845af43d60600600803e8080156100b5573d6000f35,,,,,,,,,,,,No
