Address,Bytecode,decompiled,violations,warnings,conflicts,patterns,status
ethereum-mainnet-arbitrum-1_0x8A76fe7fA6da27f85a626c5C53730B38D13603d7,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-linea-1_0xBc933cEE67d2b1c08490ee8C51E2dF653a713534,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-linea-1_0xb0B4b5847E35033766d5B49CD9C0fC40F459321F,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-mantle-1_0x000A744940eB5D857c0d61d97015DFc83107404F,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-mantle-1_0x670052635a9850bb45882Cb2eCcF66bCff0F41B7,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-mantle-1_0x91E2186E93F0ECeDDCdf9850078F104daB085E79,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-mantle-1_0xc2e3A3C18ccb634622B57fF119a1C8C7f12e8C0c,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-taiko-1_0x308a2A7d13B12ba26649F381C53F7e7C60d0D9c6,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-taiko-1_0x4e52dD94e9BCfeFE3C78153bDfB0AB1d30687297,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-taiko-1_0xeb2502AeD3Cfd6E37e292c6B837a8FFF9a042367,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-unichain-1_0x68891f5F96695ECd7dEdBE2289D1b73426ae7864,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-unichain-1_0xAB3Ee2e897cf23c10e76d26aB4674fEFA376bc0d,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-unichain-1_0xB79791184973589c38e114D43Eb8E4588C283A18,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-unichain-1_0xd8F5e7FAc317c638d2Fe4d07ab3f436ca6b5e5c7,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-worldchain-1_0x02Fe6ab4fb0943F58D9D925d1d2cbA9474997Ed0,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-worldchain-1_0x0aA145a62153190B8f0D3cA00c441e451529f755,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-mainnet-worldchain-1_0x5fd9E4986187c56826A3064954Cfa2Cf250cfA0f,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-arbitrum-1_0x2a9C5afB0d0e4BAb2BCdaE109EC4b0c4Be15a165,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-arbitrum-1_0xFc28e82F5D0780CF6074D5331Ca34859F92e6E54,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-arbitrum-1_0xaD417c0611dBD225471D31F056b8B6beC1CBC153,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-base-1_0x176ae8C6C11DD2c031B924CE1A0A43188035f3f6,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-base-1_0x29014dCC16CD6543F5c09623FD9c325902076caD,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-base-1_0x736D0bBb318c1B27Ff686cd19804094E66250e17,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-base-1_0xD3b06cEbF099CE7DA4AcCf578aaebFDBd6e88a93,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-linea-1_0xB4431A6c63F72916151fEA2864DBB13b8ce80E8a,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-linea-1_0xEB5D23FD0CFcd7EB3D16ac6F3A58CAdaF44c2324,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-linea-1_0xb550D73F428C08441E4d92d762CceE5F39b1c608,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-linea-1_0xeabcDfdc6dA2c66144f150CbD1eDa54c842B67B3,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-optimism-1_0x1d702b1FA12F347f0921C722f9D9166F00DEB67A,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-optimism-1_0x5546871845f84301fA6d9195d7abfEda20e7a155,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-optimism-1_0x6AfeDdaE519bA02985B4DD027b3f22298e1D828D,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-optimism-1_0xb40A3109075965cc09E93719e33E748abf680dAe,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-worldchain-1_0x47693fc188b2c30078F142eadc2C009E8D786E8d,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-worldchain-1_0x5A02ce533FF13f2A069CfACEe49431c017e17aBC,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
ethereum-testnet-sepolia-worldchain-1_0x693926456C8b210f56E29Bc5b4514B32A5224c88,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
