Address,Protocol,Bytecode,Reentrancy,Integer,Access_Control,Delegatecall,Unchecked_Call,Timestamp,TOD,DoS,Selfdestruct,Locked_Ether,Ether_Leak,Vulnerable
berachain-mainnet_0x160603D7C0Ac00409276bf6707430712Caf5b555,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
berachain-mainnet_0x25943b8C30C47F4eF09CcF2BAE315EbaF591881d,CCIP,,,,,,,,,,,,MAIAN,Yes
berachain-mainnet_0x76159c2b43ff6F630193e37EC68452169914C1Bb,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
celo-mainnet_0x56e0507d4E69D98bE7Eb4ada01d2315596F9f281,CCIP,,,,,,,,,,,,MAIAN,Yes
celo-mainnet_0x9fCd83bC7F67ADa1fB51a4caBEa333c72B641bd1,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
celo-mainnet_0xf19e0555fAA9051e277eeD5A0DcdB13CDaca39a9,CCIP,,,,,,,,,,,,MAIAN,Yes
celo-mainnet_0xfB48f15480926A4ADf9116Dca468bDd2EE6C5F62,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-arbitrum-1_0x141fa059441E0ca23ce184B6A78bafD2A517DdE8,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-arbitrum-1_0x39AE1032cF4B334a1Ed41cdD0833bdD7c7E7751E,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-arbitrum-1_0x8A76fe7fA6da27f85a626c5C53730B38D13603d7,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-arbitrum-1_0xC311a21e6fEf769344EB1515588B9d535662a145,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-mainnet-linea-1_0x1F8fbCf559f08FE7c4076f0d68DB861e1E27f95b,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-mainnet-linea-1_0xBc933cEE67d2b1c08490ee8C51E2dF653a713534,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-linea-1_0xb0B4b5847E35033766d5B49CD9C0fC40F459321F,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-mantle-1_0x000A744940eB5D857c0d61d97015DFc83107404F,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-mantle-1_0x670052635a9850bb45882Cb2eCcF66bCff0F41B7,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-mantle-1_0x91E2186E93F0ECeDDCdf9850078F104daB085E79,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-mantle-1_0xc2e3A3C18ccb634622B57fF119a1C8C7f12e8C0c,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-taiko-1_0x01f66BA71474d30De43d3c7B389F4019505B7F59,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-mainnet-taiko-1_0x308a2A7d13B12ba26649F381C53F7e7C60d0D9c6,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-taiko-1_0x43DB2E5d6A83399e0530DC652286F655B18a2b07,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-mainnet-taiko-1_0x4e52dD94e9BCfeFE3C78153bDfB0AB1d30687297,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-taiko-1_0xeb2502AeD3Cfd6E37e292c6B837a8FFF9a042367,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-unichain-1_0x68891f5F96695ECd7dEdBE2289D1b73426ae7864,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-unichain-1_0xAB3Ee2e897cf23c10e76d26aB4674fEFA376bc0d,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-unichain-1_0xB79791184973589c38e114D43Eb8E4588C283A18,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-unichain-1_0xd8F5e7FAc317c638d2Fe4d07ab3f436ca6b5e5c7,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-worldchain-1_0x02Fe6ab4fb0943F58D9D925d1d2cbA9474997Ed0,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-worldchain-1_0x0aA145a62153190B8f0D3cA00c441e451529f755,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-worldchain-1_0x5fd9E4986187c56826A3064954Cfa2Cf250cfA0f,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-mainnet-worldchain-1_0x7DE7Ef73cF001ff15b3aA558855D7eeC439d43ab,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-testnet-sepolia-arbitrum-1_0x2a9C5afB0d0e4BAb2BCdaE109EC4b0c4Be15a165,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-arbitrum-1_0x8126bE56454B628a88C17849B9ED99dd5a11Bd2f,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-testnet-sepolia-arbitrum-1_0xFc28e82F5D0780CF6074D5331Ca34859F92e6E54,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-arbitrum-1_0xaD417c0611dBD225471D31F056b8B6beC1CBC153,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-base-1_0x176ae8C6C11DD2c031B924CE1A0A43188035f3f6,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-base-1_0x29014dCC16CD6543F5c09623FD9c325902076caD,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-base-1_0x736D0bBb318c1B27Ff686cd19804094E66250e17,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-base-1_0x99360767a4705f68CcCb9533195B761648d6d807,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-testnet-sepolia-base-1_0xD3b06cEbF099CE7DA4AcCf578aaebFDBd6e88a93,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-linea-1_0x5B5179082056227721031C2ef1c45049864D0149,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-testnet-sepolia-linea-1_0xB4431A6c63F72916151fEA2864DBB13b8ce80E8a,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-linea-1_0xEB5D23FD0CFcd7EB3D16ac6F3A58CAdaF44c2324,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-linea-1_0xb550D73F428C08441E4d92d762CceE5F39b1c608,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-linea-1_0xeabcDfdc6dA2c66144f150CbD1eDa54c842B67B3,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-optimism-1_0x1d702b1FA12F347f0921C722f9D9166F00DEB67A,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-optimism-1_0x5546871845f84301fA6d9195d7abfEda20e7a155,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-optimism-1_0x6AfeDdaE519bA02985B4DD027b3f22298e1D828D,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-optimism-1_0xb40A3109075965cc09E93719e33E748abf680dAe,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-worldchain-1_0x469f402B75c7679eccac0Afab43aB60A292f1976,CCIP,,,,,,,,,,,,MAIAN,Yes
ethereum-testnet-sepolia-worldchain-1_0x47693fc188b2c30078F142eadc2C009E8D786E8d,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-worldchain-1_0x5A02ce533FF13f2A069CfACEe49431c017e17aBC,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-worldchain-1_0x693926456C8b210f56E29Bc5b4514B32A5224c88,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
ethereum-testnet-sepolia-worldchain-1_0xBD04B1B560A30cB3DA471574bB38F069F9C97399,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
fraxtal-mainnet_0x4bdF20477744Ec5F9DE738b5cC9ACd01763905ee,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
fraxtal-mainnet_0x6170Dd67f0Bd9a371870D8e27F3E3f64Cf4F394c,CCIP,,,,,,,,,,,,MAIAN,Yes
fraxtal-mainnet_0x6724621d8A560A84E4B6012c4bAA0eA6fF47B9DF,CCIP,,,,,,,,,,,,MAIAN,Yes
fraxtal-mainnet_0x889b5Ada2Ce451ED68C5e1b40B8236C3448ff681,CCIP,,,,,,,,,,,,MAIAN,Yes
fraxtal-mainnet_0xdd8aF6046349EDFD40123E0b616286cEC08010ed,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
matic-mainnet_0x6378c36C44B28f4d1513e7a5510A8481a23eecda,CCIP,,,,,,,,,,,,MAIAN,Yes
matic-mainnet_0x849c5ED5a80F5B408Dd4969b78c2C8fdf0565Bfe,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
plasma-mainnet_0x02A4D69cFfeC00Fbf7F3B60c93e3529Dfc58894d,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
plasma-mainnet_0xAEf7A922931848d2e731D5914f428b4E851d1Ad5,CCIP,,,,,,,,,,,,MAIAN,Yes
plasma-mainnet_0xD6e3c0089f6c260109A2a54D2441D5D4743801CD,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
plasma-mainnet_0xc23071a8AE83671f37bdA1DaDBC745a9780f632A,CCIP,,,,,,,,,,,,MAIAN,Yes
sei-mainnet_0x258Fc917b8de98b4aA0d38776E95dcce9e7EC8aC,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
sei-mainnet_0x910a46cA93E8086BF1d7D65190eE6AEe5256Bd61,CCIP,,,,,,,,,,,,MAIAN,Yes
sei-mainnet_0xAba60dA7E88F7E8f5868C2B6dE06CB759d693af0,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
sei-mainnet_0xE67E30B1b4F80A35852488757C3efc093903651A,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
sonic-mainnet_0x2961Cb47b5111F38d75f415c21ceB4120ddd1b69,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
sonic-mainnet_0x5931822f394baBC2AACF4588E98FC77a9f5aa8C9,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
sonic-mainnet_0xB4e1Ff7882474BB93042be9AD5E1fA387949B860,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
xdai-mainnet_0x4aAD6071085df840abD9Baf1697d5D5992bDadce,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
xdai-mainnet_0x73BC11423CBF14914998C23B0aFC9BE0cb5B2229,CCIP,,,,,,,,,,,,MAIAN,Yes
xdai-mainnet_0x76159c2b43ff6F630193e37EC68452169914C1Bb,CCIP,,Securify,,Securify,,Securify,,Securify,,,,MAIAN,Yes
